Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2014,November,"133,521","365,016",3,"117,015","319,339",3,"250,536","684,355",2.73
2014,December,"136,962","344,074",3,"124,501","312,148",3,"261,463","656,222",2.51
2014 Total,,"1,655,206","4,726,375",3,"1,610,440","4,595,339",3,"3,265,646","9,321,714",2.85
% Chg over 2013,,3.22%,-3.67%,-6.68%,3.04%,-3.63%,-6.47%,3.13%,-3.65%,-6.58%
2015,January,"130,116","325,715",3,"127,400","318,471",3,"257,517","644,187",2.5
2015,February,"121,680","538,315",4,"111,655","494,208",4,"233,335","1,032,523",4.43
2015,March,"150,808","398,876",3,"131,903","348,382",3,"282,710","747,258",2.64
2015,April,"144,125","358,110",2,"132,994","329,984",2,"277,119","688,094",2.48
2015,May,"149,944","372,431",2,"142,974","354,505",2,"292,918","726,937",2.48
2015,June,"157,173","387,703",2,"152,196","374,746",2,"309,369","762,448",2.46
2015,July,"165,878","323,304",2,"162,513","315,732",2,"328,392","639,035",1.95
2015,August,"168,925","309,896",2,"160,660","293,824",2,"329,584","603,720",1.83
2015,September,"141,344","238,849",2,"141,337","237,918",2,"282,681","476,767",1.69
2015,October,"149,249","307,189",2,"128,211","263,201",2,"277,461","570,390",2.06
2015,November,"143,032","263,162",2,"109,368","200,622",2,"252,401","463,784",1.84
2015,December,"146,441","270,720",2,"118,929","219,187",2,"265,371","489,907",1.85
2015 Total,,"1,768,717","4,094,271",2,"1,620,139","3,750,780",2,"3,388,856","7,845,051",2.31
% Chg over 2014,,6.86%,-13.37%,-18.93%,0.60%,-18.38%,-18.87%,3.77%,-15.84%,-18.90%
2016,January,"139,318","190,375",1,"120,834","164,344",1,"260,151","354,719",1.36
2016,February,"137,449","185,128",1,"107,217","143,680",1,"244,665","328,808",1.34
2016,March,"159,813","221,359",1,"121,164","167,113",1,"280,976","388,473",1.38
2016,April,"150,704","231,884",2,"128,896","197,656",2,"279,599","429,540",1.54
2016,May,"167,434","253,283",2,"131,995","198,847",2,"299,428","452,130",1.51
2016,June,"173,715","533,586",3,"139,997","429,859",3,"313,712","963,445",3.07
2016,July,"183,965","272,794",1,"149,334","220,435",1,"333,299","493,229",1.48
2016,August,"179,285","277,034",2,"145,902","224,601",2,"325,187","501,635",1.54
2016,September,"155,850","222,681",1,"127,784","181,624",1,"283,634","404,304",1.43
2016,October,"162,455","278,374",2,"116,202","198,363",2,"278,657","476,737",1.71
2016,November,"154,389","241,917",2,"92,210","143,989",2,"246,598","385,905",1.56
2016,December,"161,053","263,321",2,"105,657","172,011",2,"266,709","435,332",1.63
2016 Total,,"1,925,428","3,171,736",2,"1,487,189","2,442,522",2,"3,412,617","5,614,257",1.65
% Chg over 2015,,8.86%,-22.53%,-28.84%,-8.21%,-34.88%,-29.06%,0.70%,-28.44%,-28.93%
2017,January,"152,284","254,461",2,"105,903","176,244",2,"258,187","430,705",1.67
2017,February,"141,387","254,906",2,"91,207","163,806",2,"232,594","418,712",1.8
2017,March,"173,731","291,972",2,"108,916","182,308",2,"282,648","474,280",1.68
2017,April,"159,492","270,564",2,"116,663","197,131",2,"276,154","467,695",1.69
2017,May,"172,869","293,978",2,"125,120","211,990",2,"297,989","505,968",1.7
2017,June,"182,178","298,983",2,"139,136","227,522",2,"321,314","526,504",1.64
2017,July,"191,064","318,322",2,"144,950","240,622",2,"336,013","558,944",1.66
2017,August,"191,309","306,315",2,"143,908","229,470",2,"335,217","535,785",1.6
2017,September,"159,092","280,178",2,"124,392","218,051",2,"283,484","498,229",1.76
2017,October,"171,769","326,819",2,"118,888","225,411",2,"290,658","552,230",1.9
2017,November,"161,553","313,200",2,"94,316","182,176",2,"255,869","495,376",1.94
2017,December,"162,230","319,644",2,"105,776","207,555",2,"268,006","527,198",1.97
2017 Total,,"2,018,958","3,529,341",2,"1,419,175","2,462,286",2,"3,438,132","5,991,627",1.74
% Chg over 2016,,4.86%,11.27%,6.12%,-4.57%,0.81%,5.64%,0.75%,6.72%,5.93%
2018,January,"157,691","326,289",2,"106,875","220,292",2,"264,566","546,581",2.07
2018,February,"149,958","308,112",2,"93,584","191,545",2,"243,542","499,657",2.05
2018,March,"181,164","344,829",2,"110,714","209,867",2,"291,878","554,696",1.9
2018,April,"172,728","376,794",2,"113,091","245,875",2,"285,819","622,669",2.18
2018,May,"180,873","383,354",2,"126,783","267,717",2,"307,657","651,071",2.12
2018,June,"190,646","414,220",2,"134,727","291,643",2,"325,372","705,863",2.17
2018,July,"201,400","455,204",2,"142,368","320,801",2,"343,769","776,005",2.26
2018,August,"202,075","441,799",2,"142,546","310,533",2,"344,621","752,331",2.18
2018,September,"170,130","380,946",2,"123,230","275,073",2,"293,361","656,019",2.24
2018,October,"177,956","435,327",2,"114,943","280,261",2,"292,899","715,588",2.44
2018,November,"168,746","416,274",2,"94,572","232,659",2,"263,318","648,933",2.46
2018,December,"171,296","420,310",2,"104,193","255,051",2,"275,489","675,361",2.45
2018 Total,,"2,124,664","4,703,456",2,"1,407,627","3,101,316",2,"3,532,291","7,804,773",2.21
% Chg over 2017,,5.24%,33.27%,26.64%,-0.81%,25.95%,26.99%,2.74%,30.26%,26.79%
2019,January,"167,884","345,424",2,"105,823","216,968",2,"273,707","562,392",2.05
2019,February,"154,407","319,362",2,"93,667","193,063",2,"248,074","512,425",2.07
2019,March,"189,695","385,807",2,"110,257","223,450",2,"299,952","609,257",2.03
2019,April,"180,071","364,498",2,"116,040","234,127",2,"296,111","598,625",2.02
2019,May,"188,366","388,155",2,"129,807","266,658",2,"318,173","654,813",2.06
2019,June,"198,075","420,445",2,"138,109","292,420",2,"336,184","712,864",2.12
2019,July,"207,363","407,110",2,"143,770","281,380",2,"351,133","688,490",1.96
2019,August,"206,921","394,893",2,"144,207","274,342",2,"351,128","669,235",1.91
2019,September,"176,328","349,929",2,"127,564","252,424",2,"303,892","602,353",1.98
2019,October,"187,060","357,775",2,"118,880","226,695",2,"305,940","584,471",1.91
2019,November,"172,702","345,124",2,"95,200","189,737",2,"267,902","534,861",2
2019,December,"183,237","373,748",2,"103,805","211,196",2,"287,042","584,945",2.04
2019 Total,,"2,212,108","4,452,271",2,"1,427,129","2,862,461",2,"3,639,237","7,314,732",2.01
% Chg over 2018,,4.12%,-5.34%,-9.08%,1.39%,-7.70%,-8.96%,3.03%,-6.28%,-9.03%
2020,January,"180,028","345,333",2,"108,569","207,857",2,"288,598","553,190",1.92
2020,February,"168,123","323,015",2,"90,577","174,026",2,"258,700","497,041",1.92
2020,March,"144,856","233,679",2,"58,490","94,355",2,"203,346","328,034",1.61
2020,April,"33,447","154,296",5,"9,460","43,642",5,"42,908","197,938",4.61
2020,May,"28,957","43,559",2,"12,341","18,563",2,"41,298","62,122",1.5
2020,June,"39,539","53,720",1.36,"14,008","19,032",1.36,"53,547","72,753",1.36
2020,July,"73,696","87,405",1.19,"19,514","23,144",1.19,"93,210","110,549",1.19
2020,August,"95,675","124,405",1.3,"22,923","29,807",1.3,"118,598","154,213",1.3
2020,September,"86,132","110,561",1.28,"27,193","34,906",1.28,"113,326","145,466",1.28
2020,October,"96,616","117,431",1.22,"33,201","40,354",1.22,"129,817","157,785",1.22
2020,November,"102,311","124,700",1.22,"34,776","42,386",1.22,"137,087","167,087",1.22
2020,December,"108,064","206,926",1.91,"40,541","77,630",1.91,"148,606","284,557",1.91
2020 Total,,"1,157,444","1,925,032",1.66,"471,595","805,703",1.71,"1,629,039","2,730,735",1.68
% Chg over 2019,,-47.68%,-56.76%,-17.37%,-66.96%,-71.85%,-14.82%,-55.24%,-62.67%,-16.60%
2021,January,"108,106","176,907",1.64,"43,202","70,697",1.64,"151,308","247,605",1.64
2021,February,"98,067","157,732",1.61,"37,646","60,550",1.61,"135,712","218,283",1.61
2021,March,"125,393","311,308",2.48,"45,124","112,027",2.48,"170,517","423,335",2.48
2021,April,"127,575","225,057",1.76,"45,559","80,372",1.76,"173,134","305,428",1.76
2021,May,"146,451","407,783",2.78,"49,938","139,048",2.78,"196,389","546,831",2.78
2021,June,"146,451","407,783",2.78,"49,938","139,048",2.78,"196,389","546,831",2.78
2021,July,"168,534","338,385",2.01,"57,648","115,746",2.01,"226,182","454,132",2.01
2021,August,"168,361","328,557",1.95,"63,282","123,496",1.95,"231,643","452,053",1.95
2021,September,"151,844","271,700",1.79,"61,733","110,462",1.79,"213,577","382,162",1.79
2021,October,"159,112","359,290",2.26,"60,752","137,184",2.26,"219,863","496,474",2.26
2021,November,"157,126","351,951",2.24,"52,448","117,479",2.24,"209,573","469,430",2.24
2021,December,"157,066","263,416",1.68,"58,508","98,123",1.68,"215,574","361,539",1.68
2021 Total,,"1,714,085","3,599,869",2.1,"625,777","1,304,232",2.08,"2,339,862","4,904,102",2.1
% Chg over 2020,,48.09%,87.00%,26.27%,32.69%,61.88%,21.99%,43.63%,79.59%,25.03%
2022,January,"151,900","372,187",2.45,"60,900","149,217",2.45,"212,800","521,404",2.45
2022,February,"142,180","400,719",2.82,"55,085","155,251",2.82,"197,264","555,969",2.82
2022,March,"173,524","521,336",3,"67,479","202,736",3,"241,003","724,072",3
2022,April,"166,059","528,620",3.18,"72,048","229,352",3.18,"238,108","757,972",3.18
2022,May,"164,841","611,719",3.71,"87,103","323,235",3.71,"251,944","934,954",3.71
2022,June,"165,850","703,956",4.24,"98,414","417,722",4.24,"264,265","1,121,677",4.24
2022,July,"177,725","595,003",3.35,"102,242","342,295",3.35,"279,966","937,298",3.35
2022,August,"177,131","613,358",3.46,"102,760","355,830",3.46,"279,891","969,188",3.46
2022,September,"166,851","621,338",3.72,"96,587","359,682",3.72,"263,438","981,019",3.72
2022,October,"166,350","557,562",3.35,"97,269","326,020",3.35,"263,619","883,582",3.35
2022,November,"166,786","484,977",2.91,"83,614","243,131",2.91,"250,400","728,107",2.91
2022,December,"169,889","538,034",3.17,"91,217","288,880",3.17,"261,106","826,914",3.17
2022 Total,,"1,989,087","6,548,807",3.29,"1,014,718","3,393,351",3.34,"3,003,805","9,942,158",3.31
% Chg over 2021,,16.04%,81.92%,56.77%,62.15%,160.18%,60.45%,28.38%,102.73%,57.92%
2023,January,"173,227","538,624",3.11,"94,798","294,760",3.11,"268,025","833,383",3.11
2023,February,"155,775","466,848",3,"83,820","251,203",3,"239,596","718,050",3
2023,March,"186,341","547,426",2.94,"101,238","297,414",2.94,"287,579","844,841",2.94
2023 YTD,,"515,344","1,552,898",3.01,"279,856","843,377",3.01,"795,200","2,396,274",3.01
% Chg over 2022 YTD,,10.21%,19.99%,8.87%,52.54%,66.28%,9.01%,22.14%,33.02%,8.91%
