Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2014,January,"105,128","369,856",4,"101,328","265,688",3,"206,456","635,544",3.08
2014,February,"104,412","324,118",3,"79,666","227,422",3,"184,078","551,540",3
2014,March,"119,689","347,432",3,"90,619","286,450",3,"210,308","633,882",3.01
2014,April,"113,201","347,413",3,"87,633","253,046",3,"200,834","600,459",2.99
2014,May,"116,422","347,394",3,"92,646","263,678",3,"209,068","611,072",2.92
2014,June,"119,767","367,159",3,"95,715","269,826",3,"215,482","636,985",2.96
2014,July,"110,810","378,699",3,"114,327","281,423",2,"225,137","660,121",2.93
2014,August,"106,853","344,898",3,"110,191","275,237",3,"217,044","620,135",2.86
2014,September,"109,126","324,349",3,"87,341","235,553",3,"196,467","559,901",2.85
2014,October,"114,837","315,106",3,"89,978","228,917",3,"204,815","544,023",2.66
2014,November,"108,481","278,233",3,"85,992","203,971",2,"194,474","482,203",2.48
2014,December,"117,349","259,113",2,"91,952","196,796",2,"209,301","455,909",2.18
2014 Total,,"1,346,076","4,003,767",3,"1,127,388","2,988,007",3,"2,473,464","6,991,774",2.83
% Chg over 2013,,-2.54%,-8.08%,-5.68%,4.10%,-2.32%,-6.17%,0.38%,-5.70%,-6.06%
2015,January,"110,395","195,881",2,"89,594","155,240",2,"199,989","351,122",1.76
2015,February,"97,576","172,576",2,"79,439","137,295",2,"177,015","309,871",1.75
2015,March,"116,511","212,526",2,"90,615","157,507",2,"207,126","370,033",1.79
2015,April,"116,256","206,307",2,"87,249","146,496",2,"203,506","352,803",1.73
2015,May,"115,442","225,450",2,"96,975","171,792",2,"212,416","397,242",1.87
2015,June,"116,639","226,685",2,"97,470","172,528",2,"214,109","399,213",1.86
2015,July,"201,981","353,850",2,"132,790","226,609",2,"334,771","580,459",1.73
2015,August,"196,608","318,770",2,"130,458","200,162",2,"327,067","518,932",1.59
2015,September,"173,943","263,626",2,"118,702","169,749",1,"292,645","433,375",1.48
2015,October,"182,248","270,112",1,"116,568","171,447",1,"298,816","441,559",1.48
2015,November,"175,116","258,577",1,"102,048","143,322",1,"277,163","401,899",1.45
2015,December,"185,222","250,306",1,"113,819","148,287",1,"299,041","398,593",1.33
2015 Total,,"1,787,937","2,954,665",2,"1,255,727","2,000,435",2,"3,043,664","4,955,100",1.63
% Chg over 2014,,32.83%,-26.20%,-44.44%,11.38%,-33.05%,-39.89%,23.05%,-29.13%,-42.41%
2016,January,"174,766","195,806",1,"107,982","121,538",1,"282,749","317,344",1.12
2016,February,"167,962","178,054",1,"98,899","103,357",1,"266,861","281,410",1.05
2016,March,"191,902","210,086",1,"113,640","130,501",1,"305,542","340,587",1.11
2016,April,"178,400","209,149",1,"113,856","141,781",1,"292,255","350,930",1.2
2016,May,"188,798","241,603",1,"124,392","166,222",1,"313,190","407,825",1.3
2016,June,"198,543","276,200",1,"126,670","184,107",1,"325,213","460,307",1.42
2016,July,"205,234","282,821",1,"133,303","194,478",1,"338,537","477,299",1.41
2016,August,"196,986","250,265",1,"129,341","187,330",1,"326,327","437,594",1.34
2016,September,"171,084","235,910",1,"116,975","163,537",1,"288,060","399,448",1.39
2016,October,"175,725","250,419",1,"117,304","172,431",1,"293,029","422,850",1.44
2016,November,"169,809","241,684",1,"99,168","149,994",2,"268,977","391,678",1.46
2016,December,"181,551","271,180",1,"113,431","174,095",2,"294,982","445,275",1.51
2016 Total,,"2,200,761","2,843,177",1,"1,394,960","1,889,371",1,"3,595,721","4,732,548",1.32
% Chg over 2015,,23.09%,-3.77%,-21.82%,11.09%,-5.55%,-14.98%,18.14%,-4.49%,-19.15%
2017,January,"174,090","267,006",2,"107,456","173,883",2,"281,546","440,888",1.57
2017,February,"157,288","248,053",2,"94,644","157,657",2,"251,932","405,710",1.61
2017,March,"185,204","286,585",2,"112,776","183,814",2,"297,980","470,399",1.58
2017,April,"174,741","270,991",2,"118,779","192,067",2,"293,519","463,058",1.58
2017,May,"184,951","275,459",1,"131,910","208,013",2,"316,861","483,473",1.53
2017,June,"190,612","267,102",1,"133,099","200,427",2,"323,711","467,529",1.44
2017,July,"198,270","281,636",1,"140,175","210,845",2,"338,445","492,482",1.46
2017,August,"196,203","302,213",2,"135,464","217,715",2,"331,667","519,928",1.57
2017,September,"162,318","274,555",2,"114,962","199,744",2,"277,280","474,298",1.71
2017,October,"179,025","305,539",2,"122,075","218,373",2,"301,100","523,912",1.74
2017,November,"165,155","288,883",2,"103,308","190,531",2,"268,463","479,414",1.79
2017,December,"180,795","328,279",2,"116,104","223,215",2,"296,900","551,494",1.86
2017 Total,,"2,148,653","3,396,301",2,"1,430,753","2,376,285",2,"3,579,405","5,772,586",1.61
% Chg over 2016,,-2.37%,19.45%,22.35%,2.57%,25.77%,22.62%,-0.45%,21.98%,22.53%
2018,January,"174,172","338,396",2,"109,803","222,239",2,"283,974","560,635",1.97
2018,February,"163,706","321,391",2,"98,240","200,592",2,"261,946","521,982",1.99
2018,March,"183,156","352,055",2,"115,750","231,706",2,"298,906","583,760",1.95
2018,April,"177,073","348,977",2,"120,712","249,795",2,"297,784","598,773",2.01
2018,May,"186,850","395,581",2,"132,105","292,526",2,"318,955","688,108",2.16
2018,June,"192,399","414,037",2,"134,879","301,536",2,"327,278","715,573",2.19
2018,July,"200,585","425,118",2,"140,497","310,609",2,"341,082","735,727",2.16
2018,August,"200,454","426,347",2,"134,484","297,886",2,"334,938","724,233",2.16
2018,September,"181,531","395,203",2,"120,782","271,291",2,"302,313","666,494",2.2
2018,October,"190,720","431,122",2,"119,106","278,144",2,"309,826","709,266",2.29
2018,November,"178,774","382,093",2,"96,435","216,401",2,"275,210","598,494",2.17
2018,December,"183,950","347,350",2,"108,066","214,358",2,"292,016","561,708",1.92
2018 Total,,"2,213,370","4,577,670",2,"1,430,859","3,087,083",2,"3,644,229","7,664,752",2.1
% Chg over 2017,,3.01%,34.78%,30.84%,0.01%,29.91%,29.90%,1.81%,32.78%,30.42%
2019,January,"182,281","331,867",2,"104,264","196,063",2,"286,545","527,930",1.84
2019,February,"171,809","327,811",2,"92,477","179,179",2,"264,287","506,990",1.92
2019,March,"193,845","378,410",2,"108,126","217,383",2,"301,971","595,794",1.97
2019,April,"180,568","363,321",2,"110,441","226,648",2,"291,009","589,969",2.03
2019,May,"195,785","401,108",2,"124,187","259,545",2,"319,972","660,653",2.06
2019,June,"195,915","374,378",2,"131,522","262,366",2,"327,437","636,744",1.94
2019,July,"200,831","386,301",2,"137,764","272,227",2,"338,595","658,527",1.94
2019,August,"203,193","381,594",2,"135,004","264,789",2,"338,197","646,382",1.91
2019,September,"182,205","346,654",2,"121,650","235,587",2,"303,855","582,240",1.92
2019,October,"191,987","364,527",2,"116,941","230,882",2,"308,928","595,409",1.93
2019,November,"184,470","351,914",2,"97,015","190,044",2,"281,486","541,957",1.93
2019,December,"194,578","372,713",2,"109,698","217,753",2,"304,276","590,466",1.94
2019 Total,,"2,277,467","4,380,598",2,"1,389,090","2,752,465",2,"3,666,557","7,133,063",1.95
% Chg over 2018,,2.90%,-4.31%,-7.00%,-2.92%,-10.84%,-8.16%,0.61%,-6.94%,-7.50%
2020,January,"184,169","349,962",2,"104,982","206,750",2,"289,151","556,712",1.93
2020,February,"173,576","295,766",2,"89,351","159,636",2,"262,927","455,402",1.73
2020,March,"151,836","206,642",1,"59,431","82,905",1,"211,267","289,547",1.37
2020,April,"52,042","53,722",1,"7,550","7,441",1,"59,592","61,163",1.03
2020,May,"45,439","48,539",1,"12,645","10,459",1,"58,084","58,998",1.02
2020,June,"60,020","60,343",1.01,"19,926","18,358",0.92,"79,946","78,701",0.98
2020,July,"99,248","109,698",1.11,"24,922","27,899",1.12,"124,170","137,596",1.11
2020,August,"99,928","114,766",1.15,"28,701","32,999",1.15,"128,629","147,765",1.15
2020,September,"86,588","93,180",1.08,"37,852","41,488",1.1,"124,440","134,668",1.08
2020,October,"92,005","98,183",1.07,"41,671","46,011",1.1,"133,676","144,194",1.08
2020,November,"91,914","103,539",1.13,"43,690","50,538",1.16,"135,605","154,076",1.14
2020,December,"96,606","125,525",1.3,"47,823","63,167",1.32,"144,429","188,692",1.31
2020 Total,,"1,233,370","1,659,863",1.35,"518,544","747,651",1.44,"1,751,914","2,407,514",1.37
% Chg over 2019,,-45.84%,-62.11%,-30.03%,-62.67%,-72.84%,-27.24%,-52.22%,-66.25%,-29.36%
2021,January,"92,772","130,914",1.41,"52,678","75,711",1.44,"145,450","206,625",1.42
2021,February,"82,745","128,673",1.56,"50,668","80,300",1.58,"133,413","208,973",1.57
2021,March,"116,872","195,812",1.68,"63,307","107,937",1.7,"180,179","303,749",1.69
2021,April,"127,033","214,669",1.69,"64,088","110,844",1.73,"191,121","325,513",1.7
2021,May,"151,535","263,347",1.74,"63,515","113,205",1.78,"215,051","376,552",1.75
2021,June,"175,489","319,343",1.82,"67,573","126,750",1.88,"243,062","446,093",1.84
2021,July,"185,386","350,952",1.89,"74,648","146,573",1.96,"260,034","497,525",1.91
2021,August,"177,240","336,389",1.9,"70,692","137,576",1.95,"247,932","473,966",1.91
2021,September,"160,772","315,640",1.96,"63,062","124,869",1.98,"223,835","440,508",1.97
2021,October,"171,696","370,182",2.16,"67,271","148,980",2.21,"238,967","519,162",2.17
2021,November,"171,561","386,518",2.25,"64,700","150,913",2.33,"236,261","537,432",2.27
2021,December,"176,862","385,635",2.18,"77,184","172,592",2.24,"254,046","558,226",2.2
2021 Total,,"1,789,963","3,398,074",1.9,"779,386","1,496,251",1.92,"2,569,350","4,894,325",1.9
% Chg over 2020,,45.13%,104.72%,41.06%,50.30%,100.13%,33.15%,46.66%,103.29%,38.62%
2022,January,"154,815","357,085",2.31,"81,448","190,149",2.33,"236,264","547,233",2.32
2022,February,"141,985","357,955",2.52,"75,709","196,552",2.6,"217,694","554,508",2.55
2022,March,"168,472","507,838",3.01,"90,394","278,793",3.08,"258,866","786,630",3.04
2022,April,"157,014","561,726",3.58,"96,695","356,225",3.68,"253,709","917,951",3.62
2022,May,"168,099","652,334",3.88,"103,667","410,555",3.96,"271,766","1,062,890",3.91
2022,June,"170,279","674,764",3.96,"108,386","443,987",4.1,"278,665","1,118,751",4.01
2022,July,"179,790","683,055",3.8,"113,544","442,166",3.89,"293,334","1,125,221",3.84
2022,August,"179,002","623,496",3.48,"110,889","393,021",3.54,"289,891","1,016,518",3.51
2022,September,"165,083","553,434",3.35,"100,675","343,791",3.41,"265,758","897,225",3.38
2022,October,"176,447","601,357",3.41,"100,950","346,392",3.43,"277,397","947,749",3.42
2022,November,"169,408","570,850",3.37,"93,179","320,984",3.44,"262,588","891,834",3.4
2022,December,"177,410","553,039",3.12,"103,348","330,449",3.2,"280,759","883,488",3.15
2022 Total,,"2,007,806","6,696,933",3.34,"1,178,885","4,053,065",3.44,"3,186,690","10,749,998",3.37
% Chg over 2021,,12.17%,97.08%,75.70%,51.26%,170.88%,79.09%,24.03%,119.64%,77.09%
2023,January,"172,159","562,565",3.27,"96,426","311,300",3.23,"268,584","873,865",3.25
2023,February,"164,344","527,912",3.21,"87,264","281,991",3.23,"251,608","809,903",3.22
2023,March,"184,914","527,897",2.85,"101,573","293,784",2.89,"286,487","821,681",2.87
2023 YTD,,"521,417","1,618,374",3.1,"285,263","887,075",3.11,"806,679","2,505,450",3.11
% Chg over 2022 YTD,,12.07%,32.34%,18.09%,15.23%,33.30%,15.67%,13.17%,32.68%,17.24%
