Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2016,May,"16,116","20,964",1.3,"1,059","1,459",1,"17,175","22,423",1.31
2016,June,"17,360","23,875",1.38,731,"1,668",2,"18,091","25,543",1.41
2016,July,"19,491","27,100",1.39,"1,037","1,759",2,"20,528","28,859",1.41
2016,August,"19,334","24,525",1.27,668,797,1,"20,002","25,322",1.27
2016,September,"18,739","25,443",1.36,457,677,1,"19,196","26,120",1.36
2016,October,"18,494","26,551",1.44,778,"1,156",1,"19,272","27,707",1.44
2016,November,"17,167","23,928",1.39,"1,424","2,140",2,"18,590","26,067",1.4
2016,December,"17,464","25,867",1.48,"1,414","2,362",2,"18,878","28,229",1.5
2016 Total,,"201,885","257,984",1.28,"13,732","20,096",1,"215,617","278,080",1.29
% Chg over 2015,,14.56%,-13.51%,-24.50%,-26.55%,-43.37%,-22.90%,10.61%,-16.68%,-24.68%
2017,January,"17,289","26,871",1.55,"1,582","2,667",2,"18,870","29,539",1.57
2017,February,"15,078","23,575",1.56,"1,449","2,472",2,"16,527","26,047",1.58
2017,March,"17,167","26,068",1.52,"1,623","2,698",2,"18,790","28,766",1.53
2017,April,"17,206","26,224",1.52,"1,446","2,395",2,"18,652","28,619",1.53
2017,May,"18,893","27,255",1.44,"1,219","1,950",2,"20,112","29,205",1.45
2017,June,"19,569","26,852",1.37,"1,155","1,781",2,"20,724","28,633",1.38
2017,July,"20,736","28,850",1.39,"1,556","2,340",2,"22,293","31,190",1.4
2017,August,"20,158","31,340",1.55,"1,387","2,269",2,"21,546","33,610",1.56
2017,September,"18,646","32,751",1.76,964,"1,747",2,"19,610","34,498",1.76
2017,October,"20,350","35,035",1.72,"1,159","2,059",2,"21,509","37,094",1.72
2017,November,"19,294","34,107",1.77,"1,747","3,321",2,"21,041","37,428",1.78
2017,December,"19,897","36,785",1.85,"2,308","4,511",2,"22,205","41,296",1.86
2017 Total,,"224,284","355,713",1.59,"17,595","30,210",2,"241,879","385,923",1.6
% Chg over 2016,,11.09%,37.88%,24.11%,28.14%,50.33%,17.32%,12.18%,38.78%,23.71%
2018,January,"19,839","38,874",1.96,"2,368","4,706",2,"22,206","43,580",1.96
2018,February,"18,117","35,144",1.94,"2,047","4,217",2,"20,164","39,361",1.95
2018,March,"19,201","36,023",1.88,"2,237","4,465",2,"21,438","40,489",1.89
2018,April,"18,647","37,389",2.01,"2,443","5,102",2,"21,089","42,491",2.01
2018,May,"19,729","43,177",2.19,"2,586","5,774",2,"22,315","48,951",2.19
2018,June,"19,560","41,776",2.14,"2,537","5,704",2,"22,097","47,480",2.15
2018,July,"20,252","38,711",1.91,"2,167","4,510",2,"22,420","43,221",1.93
2018,August,"21,118","44,982",2.13,"1,772","3,887",2,"22,890","48,868",2.13
2018,September,"19,581","42,471",2.17,"1,569","3,510",2,"21,151","45,982",2.17
2018,October,"20,284","46,522",2.29,"1,533","3,539",2,"21,817","50,061",2.29
2018,November,"19,451","41,275",2.12,"1,864","4,080",2,"21,315","45,356",2.13
2018,December,"20,061","34,764",1.73,"2,134","3,890",2,"22,195","38,654",1.74
2018 Total,,"235,840","481,108",2.04,"25,258","53,384",2,"261,098","534,493",2.05
% Chg over 2017,,5.15%,35.25%,28.62%,43.55%,76.71%,23.10%,7.95%,38.50%,28.30%
2019,January,"19,220","33,034",1.72,"2,623","4,630",2,"21,842","37,663",1.72
2019,February,"17,536","34,472",1.97,"2,546","4,986",2,"20,083","39,459",1.96
2019,March,"19,844","38,296",1.93,"2,296","4,598",2,"22,140","42,894",1.94
2019,April,"19,682","38,669",1.96,"1,941","4,095",2,"21,623","42,764",1.98
2019,May,"22,806","42,822",1.88,"1,786","3,868",2,"24,592","46,690",1.9
2019,June,"22,899","41,286",1.8,"1,697","3,356",2,"24,596","44,642",1.81
2019,July,"25,073","47,012",1.87,"1,603","3,387",2,"26,677","50,399",1.89
2019,August,"25,512","46,146",1.81,520,"1,223",2,"26,033","47,370",1.82
2019,September,"23,952","44,957",1.88,237,500,2,"24,189","45,457",1.88
2019,October,"24,829","48,062",1.94,"1,051","1,803",2,"25,880","49,865",1.93
2019,November,"24,604","46,239",1.88,659,"1,335",2,"25,263","47,574",1.88
2019,December,"23,990","45,542",1.9,"1,603","3,201",2,"25,593","48,743",1.9
2019 Total,,"269,946","506,537",1.88,"18,563","36,983",2,"288,510","543,520",1.88
% Chg over 2018,,14.46%,5.29%,-8.02%,-26.50%,-30.72%,-5.74%,10.50%,1.69%,-7.97%
2020,January,"24,322","46,847",1.93,"1,284","2,693",2,"25,606","49,540",1.93
2020,February,"23,707","38,601",1.63,707,"1,416",2,"24,414","40,017",1.64
2020,March,"20,187","26,723",1.32,756,"1,165",2,"20,943","27,887",1.33
2020,April,"2,098","2,047",0.98,1,1,1,"2,098","2,048",0.98
2020,May,"4,149","3,396",0.82,0,0,-,"4,149","3,396",0.82
2020,June,"7,713","7,314",0.95,9,8,0.92,"7,722","7,323",0.95
2020,July,"13,029","14,468",1.11,33,34,1.04,"13,062","14,502",1.11
2020,August,"12,523","14,401",1.15,218,255,1.17,"12,741","14,656",1.15
2020,September,"11,637","12,733",1.09,165,186,1.13,"11,802","12,919",1.09
2020,October,"13,720","14,860",1.08,162,179,1.11,"13,882","15,038",1.08
2020,November,"12,441","14,218",1.14,260,311,1.2,"12,701","14,529",1.14
2020,December,"12,636","16,561",1.31,516,723,1.4,"13,152","17,285",1.31
2020 Total,,"158,163","212,169",1.34,"4,110","6,971",1.7,"162,273","219,140",1.35
% Chg over 2019,,-41.41%,-58.11%,-28.51%,-77.86%,-81.15%,-14.87%,-43.75%,-59.68%,-28.32%
2021,January,"11,875","16,735",1.41,350,744,2.13,"12,225","17,479",1.43
2021,February,"11,860","18,449",1.56,426,702,1.65,"12,286","19,151",1.56
2021,March,"19,466","33,094",1.7,547,"1,023",1.87,"20,012","34,117",1.7
2021,April,"20,500","34,522",1.68,416,746,1.79,"20,916","35,268",1.69
2021,May,"22,235","39,328",1.77,374,705,1.88,"22,609","40,033",1.77
2021,June,"24,027","45,098",1.88,"1,012","2,105",2.08,"25,039","47,203",1.89
2021,July,"26,311","51,261",1.95,"1,249","2,796",2.24,"27,560","54,057",1.96
2021,August,"24,448","46,818",1.91,"1,631","3,293",2.02,"26,079","50,112",1.92
2021,September,"21,209","42,044",1.98,"1,090","1,845",1.69,"22,299","43,889",1.97
2021,October,"23,123","50,799",2.2,"1,576","3,987",2.53,"24,699","54,786",2.22
2021,November,"22,644","53,257",2.35,"2,663","5,319",2,"25,306","58,576",2.31
2021,December,"23,396","49,586",2.12,"3,155","7,231",2.29,"26,551","56,817",2.14
2021 Total,,"251,094","480,991",1.92,"14,487","30,495",2.1,"265,581","511,486",1.93
% Chg over 2020,,58.76%,126.70%,42.80%,252.47%,337.45%,24.11%,63.66%,133.41%,42.61%
2022,January,"20,182","46,833",2.32,"3,385","8,354",2.47,"23,567","55,186",2.34
2022,February,"18,812","48,926",2.6,"3,141","8,934",2.84,"21,953","57,860",2.64
2022,March,"23,058","72,272",3.13,"3,415","11,178",3.27,"26,473","83,450",3.15
2022,April,"21,946","86,535",3.94,"3,507","15,044",4.29,"25,453","101,579",3.99
2022,May,"22,387","94,042",4.2,"2,926","12,504",4.27,"25,312","106,546",4.21
2022,June,"22,374","91,487",4.09,"2,899","12,358",4.26,"25,273","103,845",4.11
2022,July,"24,028","92,206",3.84,"3,054","12,811",4.2,"27,082","105,018",3.88
2022,August,"24,749","84,586",3.42,"2,305","8,671",3.76,"27,054","93,258",3.45
2022,September,"24,199","83,443",3.45,"1,231","4,487",3.64,"25,430","87,930",3.46
2022,October,"27,142","96,567",3.56,"1,180","4,255",3.61,"28,322","100,822",3.56
2022,November,"26,342","91,928",3.49,"1,691","6,214",3.67,"28,033","98,141",3.5
2022,December,"25,921","78,916",3.04,"2,280","7,205",3.16,"28,201","86,121",3.05
2022 Total,,"281,139","967,740",3.44,"31,014","112,017",3.61,"312,153","1,079,757",3.46
% Chg over 2021,,11.97%,101.20%,79.70%,114.07%,267.32%,71.59%,17.54%,111.10%,79.61%
2023,January,"25,070","85,010",3.39,"2,360","8,370",3.55,"27,430","93,379",3.4
2023,February,"24,318","80,489",3.31,"2,079","7,501",3.61,"26,397","87,989",3.33
2023,March,"28,111","79,048",2.81,"2,650","7,989",3.01,"30,761","87,037",2.83
2023 YTD,,"77,499","244,546",3.16,"7,088","23,859",3.37,"84,587","268,405",3.17
% Chg over 2022 YTD,,24.89%,45.54%,16.53%,-28.70%,-16.18%,17.55%,17.49%,36.60%,16.26%
