Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
% Chg over 2016,,7.49%,31.36%,22.20%,3.94%,33.09%,28.05%,7.43%,31.39%,22.30%
2018,January,"56,468","121,154",2.15,"1,540","3,507",2,"58,008","124,661",2.15
2018,February,"51,845","110,132",2.12,"1,346","3,096",2,"53,191","113,228",2.13
2018,March,"59,545","125,951",2.12,"1,542","3,480",2,"61,087","129,431",2.12
2018,April,"59,466","132,949",2.24,"1,353","3,254",2,"60,819","136,203",2.24
2018,May,"62,005","148,001",2.39,"1,114","2,859",3,"63,120","150,860",2.39
2018,June,"63,201","149,648",2.37,"1,028","2,655",3,"64,230","152,303",2.37
2018,July,"65,575","154,353",2.35,"1,044","2,646",3,"66,619","156,999",2.36
2018,August,"64,273","151,712",2.36,931,"2,402",3,"65,205","154,113",2.36
2018,September,"58,438","124,544",2.13,412,"1,012",2,"58,851","125,557",2.13
2018,October,"58,606","148,672",2.54,935,"2,720",3,"59,542","151,393",2.54
2018,November,"56,957","138,728",2.44,"1,162","3,227",3,"58,119","141,955",2.44
2018,December,"58,394","124,359",2.13,"1,247","2,981",2,"59,641","127,340",2.14
2018 Total,,"714,775","1,630,203",2.28,"13,655","33,839",2,"728,430","1,664,042",2.28
% Chg over 2017,,45.82%,83.71%,25.99%,56.30%,100.22%,28.10%,46.00%,84.02%,26.04%
2019,January,"55,882","114,428",2.05,"1,203","2,867",2,"57,084","117,295",2.05
2019,February,"50,122","107,400",2.14,"1,190","3,017",3,"51,311","110,417",2.15
2019,March,"59,267","131,142",2.21,"1,343","3,487",3,"60,610","134,629",2.22
2019,April,"58,433","133,797",2.29,"1,294","3,411",3,"59,726","137,208",2.3
2019,May,"61,930","149,142",2.41,847,"2,331",3,"62,777","151,473",2.41
2019,June,"63,900","135,989",2.13,678,"1,667",2,"64,578","137,656",2.13
2019,July,"66,997","145,233",2.17,624,"1,576",3,"67,620","146,809",2.17
2019,August,"66,100","138,107",2.09,511,"1,242",2,"66,611","139,349",2.09
2019,September,"58,438","124,974",2.14,412,"1,012",2,"58,851","125,986",2.14
2019,October,"59,828","130,403",2.18,670,"1,683",3,"60,499","132,086",2.18
2019,November,"57,706","130,286",2.26,"1,109","2,782",3,"58,815","133,068",2.26
2019,December,"61,396","137,136",2.23,"1,306","3,268",3,"62,702","140,404",2.24
2019 Total,,"719,999","1,578,035",2.19,"11,187","28,345",3,"731,186","1,606,381",2.2
% Chg over 2018,,0.73%,-3.20%,-3.90%,-18.07%,-16.24%,2.24%,0.38%,-3.47%,-3.83%
2020,January,"57,811","129,596",2.24,"1,370","3,429",3,"59,180","133,025",2.25
2020,February,"53,203","103,436",1.94,"1,381","3,048",2,"54,584","106,484",1.95
2020,March,"48,222","75,187",1.56,"1,178","2,206",2,"49,400","77,393",1.57
2020,April,"10,875","13,637",1.25,75,94,1,"10,950","13,731",1.25
2020,May,"10,334","11,070",1.07,23,27,1,"10,357","11,098",1.07
2020,June,"16,259","21,145",1.3,42,68,2,"16,301","21,213",1.3
2020,July,"19,288","27,993",1.45,64,109,1.69,"19,352","28,102",1.45
2020,August,"25,303","37,181",1.47,89,154,1.72,"25,392","37,335",1.47
2020,September,"23,970","32,344",1.35,43,69,1.58,"24,013","32,413",1.35
2020,October,"27,749","36,680",1.32,303,480,1.59,"28,052","37,161",1.32
2020,November,"28,799","41,383",1.44,437,659,1.51,"29,236","42,042",1.44
2020,December,"30,583","49,434",1.62,614,"1,096",1.78,"31,197","50,530",1.62
2020 Total,,"352,394","579,088",1.64,"5,620","11,439",2.04,"358,014","590,526",1.65
% Chg over 2019,,-51.06%,-63.30%,-25.02%,-49.77%,-59.65%,-19.67%,-51.04%,-63.24%,-24.92%
2021,January,"29,109","50,061",1.72,839,"1,570",1.87,"29,948","51,631",1.72
2021,February,"28,921","53,219",1.84,768,"1,550",2.02,"29,689","54,769",1.84
2021,March,"37,830","74,989",1.98,764,"1,667",2.18,"38,594","76,656",1.99
2021,April,"41,202","80,833",1.96,965,"2,052",2.13,"42,167","82,885",1.97
2021,May,"43,984","91,333",2.08,"1,029","2,306",2.24,"45,013","93,639",2.08
2021,June,"46,865","100,008",2.13,785,"1,829",2.33,"47,650","101,837",2.14
2021,July,"49,691","111,242",2.24,603,"1,449",2.4,"50,294","112,691",2.24
2021,August,"49,793","113,733",2.28,605,"1,420",2.35,"50,399","115,153",2.28
2021,September,"46,126","104,263",2.26,559,"1,350",2.41,"46,685","105,613",2.26
2021,October,"47,561","116,456",2.45,"1,064","2,871",2.7,"48,625","119,327",2.45
2021,November,"48,835","124,227",2.54,"1,399","3,826",2.74,"50,234","128,053",2.55
2021,December,"49,520","118,898",2.4,"1,854","4,760",2.57,"51,374","123,658",2.41
2021 Total,,"519,438","1,139,262",2.19,"11,235","26,651",2.37,"530,672","1,165,912",2.2
% Chg over 2020,,47.40%,96.73%,33.47%,99.92%,132.99%,16.54%,48.23%,97.44%,33.20%
2022,January,"43,890","116,462",2.65,"1,463","4,089",2.79,"45,353","120,551",2.66
2022,February,"44,264","124,348",2.81,"1,360","4,251",3.12,"45,624","128,599",2.82
2022,March,"53,016","180,839",3.41,"1,699","6,228",3.66,"54,715","187,067",3.42
2022,April,"52,865","216,684",4.1,"1,583","6,567",4.15,"54,448","223,251",4.1
2022,May,"54,465","239,182",4.39,"1,329","5,908",4.44,"55,794","245,090",4.39
2022,June,"54,038","245,742",4.55,966,"4,358",4.51,"55,005","250,100",4.55
2022,July,"58,431","242,435",4.15,943,"4,003",4.25,"59,373","246,439",4.15
2022,August,"58,029","218,887",3.77,863,"3,335",3.86,"58,892","222,223",3.77
2022,September,"53,880","203,506",3.78,828,"3,251",3.93,"54,708","206,758",3.78
2022,October,"53,271","202,373",3.8,985,"4,003",4.06,"54,256","206,376",3.8
2022,November,"52,140","187,703",3.6,"1,212","4,700",3.88,"53,352","192,403",3.61
2022,December,"53,462","174,117",3.26,"1,451","4,954",3.41,"54,913","179,071",3.26
2022 Total,,"631,751","2,352,278",3.72,"14,683","55,648",3.79,"646,434","2,407,926",3.72
% Chg over 2021,,21.62%,106.47%,69.77%,30.69%,108.81%,59.77%,21.81%,106.53%,69.54%
2023,January,"54,686","192,946",3.53,"1,426","5,671",3.98,"56,113","198,617",3.54
2023,February,"49,393","171,282",3.47,"1,202","4,351",3.62,"50,595","175,633",3.47
2023,March,"57,431","173,144",3.01,"1,438","4,745",3.3,"58,869","177,889",3.02
2023 YTD,,"161,511","537,371",3.33,"4,066","14,768",3.63,"165,577","552,139",3.33
% Chg over 2022 YTD,,14.41%,27.45%,11.39%,-10.10%,1.37%,12.76%,13.65%,26.57%,11.37%
