Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2015,April,"159,535","292,675",1.83,986,"1,992",2,"160,522","294,668",1.84
2015,May,"162,647","327,303",2.01,"1,099","2,462",2,"163,746","329,765",2.01
2015,June,"167,930","330,197",1.97,"1,288","2,840",2,"169,218","333,037",1.97
2015,July,"176,518","334,979",1.9,"1,399","2,888",2,"177,917","337,867",1.9
2015,August,"164,256","288,685",1.76,927,"1,727",2,"165,183","290,412",1.76
2015,September,"150,538","260,093",1.73,609,"1,105",2,"151,148","261,198",1.73
2015,October,"157,449","256,734",1.63,877,"1,596",2,"158,327","258,329",1.63
2015,November,"157,804","253,787",1.61,"1,215","2,131",2,"159,019","255,918",1.61
2015,December,"162,453","237,139",1.46,"1,533","2,409",2,"163,986","239,549",1.46
2015 Total,,"1,891,638","3,410,232",1.8,"12,508","24,341",2,"1,904,147","3,434,573",1.8
% Chg over 2014,,5.70%,-32.31%,-35.96%,-10.84%,-44.79%,-38.07%,5.57%,-32.42%,-35.98%
2016,January,"153,259","275,940",1.8,"1,247","1,772",1,"154,506","277,711",1.8
2016,February,"144,525","251,480",1.74,"1,163","1,624",1,"145,688","253,104",1.74
2016,March,"171,254","281,824",1.65,"1,413","2,069",1,"172,668","283,893",1.64
2016,April,"164,790","260,648",1.58,"1,328","2,040",2,"166,118","262,688",1.58
2016,May,"168,731","283,001",1.68,"1,559","2,523",2,"170,290","285,524",1.68
2016,June,"175,445","307,472",1.75,"1,811","3,228",2,"177,256","310,700",1.75
2016,July,"179,600","315,538",1.76,"1,937","3,650",2,"181,537","319,188",1.76
2016,August,"170,665","293,559",1.72,"1,257","2,234",2,"171,922","295,793",1.72
2016,September,"158,892","281,759",1.77,872,"1,603",2,"159,764","283,362",1.77
2016,October,"163,531","298,242",1.82,948,"1,802",2,"164,479","300,044",1.82
2016,November,"162,797","296,169",1.82,"1,164","2,177",2,"163,961","298,346",1.82
2016,December,"168,866","309,725",1.83,"1,582","3,017",2,"170,448","312,742",1.83
2016 Total,,"1,982,355","3,455,356",1.74,"16,282","27,740",2,"1,998,636","3,483,096",1.74
% Chg over 2015,,4.80%,1.32%,-3.31%,30.17%,13.96%,-12.45%,4.96%,1.41%,-3.38%
2017,January,"162,341","288,449",1.78,"1,328","2,697",2,"163,668","291,146",1.78
2017,February,"144,820","266,514",1.84,"1,357","2,756",2,"146,177","269,271",1.84
2017,March,"176,456","316,631",1.79,"1,556","3,162",2,"178,011","319,793",1.8
2017,April,"174,801","316,399",1.81,"1,861","3,724",2,"176,662","320,123",1.81
2017,May,"175,048","310,447",1.77,"1,762","3,271",2,"176,810","313,718",1.77
2017,June,"180,817","304,998",1.69,"2,187","3,992",2,"183,004","308,990",1.69
2017,July,"185,952","314,714",1.69,"3,054","5,384",2,"189,006","320,098",1.69
2017,August,"176,538","323,218",1.83,"2,026","3,919",2,"178,564","327,136",1.83
2017,September,"153,522","300,698",1.96,"1,127","2,365",2,"154,648","303,063",1.96
2017,October,"164,689","318,571",1.93,"1,356","2,814",2,"166,046","321,386",1.94
2017,November,"164,028","324,347",1.98,"1,709","3,672",2,"165,737","328,020",1.98
2017,December,"167,488","325,085",1.94,"2,227","4,912",2,"169,715","329,997",1.94
2017 Total,,"2,026,499","3,710,071",1.83,"21,549","42,670",2,"2,048,048","3,752,741",1.83
% Chg over 2016,,2.23%,7.37%,5.03%,32.35%,53.82%,16.22%,2.47%,7.74%,5.14%
2018,January,"161,332","315,398",1.95,"1,835","4,296",2,"163,167","319,694",1.96
2018,February,"145,202","291,461",2.01,"1,842","4,363",2,"147,044","295,825",2.01
2018,March,"177,101","345,962",1.95,"2,506","5,806",2,"179,607","351,768",1.96
2018,April,"174,740","349,419",2,"1,929","4,713",2,"176,669","354,132",2
2018,May,"179,451","379,543",2.12,"2,390","6,221",3,"181,840","385,763",2.12
2018,June,"182,164","395,345",2.17,"2,966","7,726",3,"185,130","403,070",2.18
2018,July,"189,080","401,636",2.12,"3,011","7,786",3,"192,091","409,422",2.13
2018,August,"177,680","384,842",2.17,"1,930","4,972",3,"179,610","389,814",2.17
2018,September,"162,847","348,777",2.14,"1,342","3,591",3,"164,189","352,368",2.15
2018,October,"175,404","385,961",2.2,"1,525","4,291",3,"176,929","390,252",2.21
2018,November,"173,093","386,731",2.23,"2,076","5,543",3,"175,169","392,275",2.24
2018,December,"173,448","351,821",2.03,"2,441","5,730",2,"175,889","357,551",2.03
2018 Total,,"2,071,543","4,336,896",2.09,"25,791","65,037",3,"2,097,334","4,401,933",2.1
% Chg over 2017,,2.22%,16.90%,14.35%,19.69%,52.42%,27.35%,2.41%,17.30%,14.54%
2019,January,"163,092","311,661",1.91,"1,790","4,071",2,"164,882","315,732",1.91
2019,February,"146,911","289,337",1.97,"1,760","4,223",2,"148,671","293,560",1.97
2019,March,"177,790","353,137",1.99,"2,488","6,074",2,"180,278","359,211",1.99
2019,April,"171,492","343,556",2,"1,932","4,787",2,"173,424","348,343",2.01
2019,May,"177,442","371,854",2.1,"2,473","6,310",3,"179,915","378,164",2.1
2019,June,"176,418","351,594",1.99,"2,714","6,376",2,"179,131","357,970",2
2019,July,"182,640","362,654",1.99,"2,459","5,797",2,"185,099","368,451",1.99
2019,August,"175,269","342,905",1.96,"1,702","3,912",2,"176,971","346,816",1.96
2019,September,"161,469","317,266",1.96,"1,036","2,343",2,"162,505","319,609",1.97
2019,October,"174,503","345,033",1.98,"1,961","4,359",2,"176,464","349,392",1.98
2019,November,"168,723","337,142",2,"1,920","4,416",2,"170,643","341,558",2
2019,December,"177,396","358,747",2.02,"2,428","5,685",2,"179,823","364,432",2.03
2019 Total,,"2,053,144","4,084,884",1.99,"24,661","58,353",2,"2,077,806","4,143,237",1.99
% Chg over 2018,,-0.89%,-5.81%,-4.97%,-4.38%,-10.28%,-6.17%,-0.93%,-5.88%,-4.99%
2020,January,"161,117","323,442",2.01,"1,401","3,309",2,"162,518","326,751",2.01
2020,February,"150,538","276,886",1.84,"1,445","3,038",2,"151,983","279,924",1.84
2020,March,"141,191","218,968",1.55,"1,011","1,862",2,"142,202","220,830",1.55
2020,April,"60,753","83,556",1.38,13,28,2,"60,766","83,584",1.38
2020,May,"56,615","69,934",1.24,0,0,-,"56,615","69,934",1.24
2020,June,"91,125","106,585",1.17,0,0,-,"91,125","106,585",1.17
2020,July,"115,402","130,430",1.13,112,158,1.41,"115,514","130,588",1.13
2020,August,"116,428","131,998",1.13,179,258,1.44,"116,608","132,256",1.13
2020,September,"88,917","106,241",1.19,120,162,1.36,"89,036","106,403",1.2
2020,October,"90,876","98,782",1.09,110,147,1.34,"90,986","98,929",1.09
2020,November,"102,450","121,329",1.18,235,335,1.42,"102,685","121,664",1.18
2020,December,"94,633","128,833",1.36,545,906,1.66,"95,178","129,739",1.36
2020 Total,,"1,270,045","1,796,982",1.41,"5,170","10,204",1.97,"1,275,215","1,807,186",1.42
% Chg over 2019,,-38.14%,-56.01%,-28.88%,-79.04%,-82.51%,-16.59%,-38.63%,-56.38%,-28.93%
2021,January,"88,971","128,153",1.44,347,594,1.71,"89,318","128,748",1.44
2021,February,"74,023","117,290",1.58,323,607,1.88,"74,346","117,897",1.59
2021,March,"121,329","206,307",1.7,"1,057","2,143",2.03,"122,386","208,449",1.7
2021,April,"125,774","222,863",1.77,"1,246","2,461",1.97,"127,021","225,324",1.77
2021,May,"139,115","245,930",1.77,"1,775","3,697",2.08,"140,890","249,627",1.77
2021,June,"155,865","297,194",1.91,"2,241","4,840",2.16,"158,106","302,035",1.91
2021,July,"169,524","316,962",1.87,"2,476","5,599",2.26,"171,999","322,560",1.88
2021,August,"166,226","324,263",1.95,"1,902","4,209",2.21,"168,128","328,472",1.95
2021,September,"149,852","296,266",1.98,"1,235","2,828",2.29,"151,087","299,094",1.98
2021,October,"156,152","328,339",2.1,"1,526","3,961",2.6,"157,677","332,301",2.11
2021,November,"151,326","330,019",2.18,"1,583","4,151",2.62,"152,909","334,170",2.19
2021,December,"152,780","342,127",2.24,"1,863","4,579",2.46,"154,644","346,706",2.24
2021 Total,,"1,650,936","3,155,714",1.91,"17,574","39,669",2.26,"1,668,510","3,195,383",1.92
% Chg over 2020,,29.99%,75.61%,35.10%,239.92%,288.76%,14.37%,30.84%,76.82%,35.14%
2022,January,"138,910","284,286",2.05,"1,377","3,725",2.71,"140,287","288,011",2.05
2022,February,"133,377","274,926",2.06,"1,789","5,384",3.01,"135,166","280,310",2.07
2022,March,"158,284","376,010",2.38,"2,533","9,005",3.56,"160,816","385,015",2.39
2022,April,"153,174","456,828",2.98,"2,422","9,870",4.08,"155,596","466,698",3
2022,May,"162,355","523,637",3.23,"2,300","10,154",4.41,"164,655","533,791",3.24
2022,June,"163,365","550,906",3.37,"2,675","12,004",4.49,"166,040","562,911",3.39
2022,July,"173,623","577,294",3.32,"2,872","12,164",4.23,"176,496","589,458",3.34
2022,August,"172,400","526,470",3.05,"2,698","10,687",3.96,"175,098","537,157",3.07
2022,September,"162,134","531,435",3.28,"1,540","6,124",3.98,"163,674","537,558",3.28
2022,October,"168,150","543,558",3.23,"1,592","6,387",4.01,"169,742","549,946",3.24
2022,November,"161,438","498,824",3.09,"1,885","7,267",3.85,"163,323","506,091",3.1
2022,December,"148,915","451,636",3.03,"2,062","7,042",3.42,"150,976","458,677",3.04
2022 Total,,"1,896,125","5,595,809",2.95,"25,745","99,814",3.88,"1,921,870","5,695,623",2.96
% Chg over 2021,,14.85%,77.32%,54.39%,46.50%,151.62%,71.75%,15.18%,78.25%,54.75%
2023,January,"157,803","509,637",3.23,"2,145","8,343",3.89,"159,948","517,980",3.24
2023,February,"144,575","442,731",3.06,"1,925","6,781",3.52,"146,500","449,512",3.07
2023,March,"174,337","513,841",2.95,"2,569","8,314",3.24,"176,906","522,155",2.95
2023 YTD,,"476,715","1,466,209",3.08,"6,639","23,438",3.53,"483,354","1,489,647",3.08
% Chg over 2022 YTD,,10.72%,56.78%,41.60%,16.50%,29.39%,11.06%,10.79%,56.26%,41.04%
