Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2017,August,"151,879","238,731",2,"159,643","254,730",2,"311,521","493,461",1.58
2017,September,"130,827","228,146",2,"145,614","250,690",2,"276,441","478,836",1.73
2017,October,"140,729","245,861",2,"142,684","253,280",2,"283,413","499,141",1.76
2017,November,"130,657","234,223",2,"130,710","238,440",2,"261,367","472,662",1.81
2017,December,"136,716","253,010",2,"138,033","262,398",2,"274,749","515,409",1.88
2017 Total,,"1,608,009","2,600,112",2,"1,748,431","2,889,535",2,"3,356,441","5,489,647",1.64
% Chg over 2016,,6.10%,30.30%,22.81%,0.16%,22.32%,22.13%,2.92%,25.98%,22.40%
2018,January,"120,887","239,130",2,"135,095","268,814",2,"255,982","507,944",1.98
2018,February,"113,047","225,059",2,"122,416","250,254",2,"235,463","475,313",2.02
2018,March,"135,411","262,245",2,"143,912","288,172",2,"279,323","550,417",1.97
2018,April,"137,777","280,800",2,"140,297","288,505",2,"278,074","569,305",2.05
2018,May,"145,504","316,491",2,"150,908","331,009",2,"296,412","647,499",2.18
2018,June,"154,622","336,639",2,"156,605","350,210",2,"311,227","686,849",2.21
2018,July,"160,622","346,588",2,"165,859","363,233",2,"326,481","709,821",2.17
2018,August,"160,321","346,659",2,"158,683","347,765",2,"319,004","694,424",2.18
2018,September,"142,507","316,363",2,"142,776","318,139",2,"285,284","634,502",2.22
2018,October,"149,748","346,072",2,"146,121","340,675",2,"295,869","686,747",2.32
2018,November,"138,755","306,791",2,"135,045","310,650",2,"273,800","617,441",2.26
2018,December,"143,931","277,512",2,"144,826","291,962",2,"288,757","569,474",1.97
2018 Total,,"1,703,132","3,600,349",2,"1,742,544","3,749,386",2,"3,445,675","7,349,735",2.13
% Chg over 2017,,5.92%,38.47%,30.74%,-0.34%,29.76%,30.20%,2.66%,33.88%,30.42%
2019,January,"128,594","236,591",2,"141,519","264,120",2,"270,113","500,710",1.85
2019,February,"120,087","231,328",2,"124,665","241,612",2,"244,752","472,940",1.93
2019,March,"148,464","295,179",2,"149,384","302,550",2,"297,848","597,729",2.01
2019,April,"145,411","296,103",2,"143,673","295,603",2,"289,084","591,706",2.05
2019,May,"153,950","324,208",2,"155,466","329,511",2,"309,415","653,719",2.11
2019,June,"159,501","307,714",2,"160,737","320,456",2,"320,238","628,170",1.96
2019,July,"164,295","320,251",2,"164,694","324,816",2,"328,989","645,067",1.96
2019,August,"163,532","310,650",2,"161,157","315,783",2,"324,688","626,433",1.93
2019,September,"142,964","272,384",2,"149,949","289,136",2,"292,912","561,520",1.92
2019,October,"153,035","298,950",2,"149,577","297,558",2,"302,611","596,508",1.97
2019,November,"139,744","274,317",2,"141,758","281,220",2,"281,501","555,537",1.97
2019,December,"147,645","289,913",2,"153,426","304,014",2,"301,072","593,927",1.97
2019 Total,,"1,767,221","3,457,588",2,"1,796,005","3,566,378",2,"3,563,226","7,023,966",1.97
% Chg over 2018,,3.76%,-3.97%,-7.45%,3.07%,-4.88%,-7.71%,3.41%,-4.43%,-7.59%
2020,January,"134,410","264,732",2,"147,687","296,270",2,"282,097","561,003",1.99
2020,February,"128,666","223,255",2,"120,295","219,556",2,"248,961","442,811",1.78
2020,March,"113,739","163,512",1,"90,010","140,183",2,"203,750","303,695",1.49
2020,April,"20,502","23,799",1,"26,494","29,607",1,"46,995","53,407",1.14
2020,May,"17,405","18,592",1,"39,080","34,568",1,"56,485","53,160",0.94
2020,June,"19,504","22,908",1.17,"37,829","38,053",1.01,"57,333","60,960",1.06
2020,July,"39,864","48,272",1.21,"45,053","52,270",1.16,"84,917","100,541",1.18
2020,August,"55,634","66,036",1.19,"54,420","64,140",1.18,"110,053","130,176",1.18
2020,September,"46,021","52,549",1.14,"59,364","67,730",1.14,"105,385","120,278",1.14
2020,October,"61,874","68,927",1.11,"63,053","69,103",1.1,"124,926","138,031",1.1
2020,November,"63,097","74,728",1.18,"70,311","82,020",1.17,"133,407","156,748",1.17
2020,December,"67,606","90,767",1.34,"78,302","102,110",1.3,"145,909","192,877",1.32
2020 Total,,"768,321","1,118,077",1.46,"831,897","1,195,609",1.44,"1,600,218","2,313,686",1.45
% Chg over 2019,,-56.52%,-67.66%,-25.62%,-53.68%,-66.48%,-27.62%,-55.09%,-67.06%,-26.65%
2021,January,"60,468","87,315",1.44,"67,795","97,466",1.44,"128,263","184,782",1.44
2021,February,"55,447","86,536",1.56,"59,384","91,550",1.54,"114,831","178,085",1.55
2021,March,"72,473","124,399",1.72,"74,504","126,619",1.7,"146,977","251,019",1.71
2021,April,"74,037","128,080",1.73,"73,440","127,674",1.74,"147,477","255,753",1.73
2021,May,"84,750","152,639",1.8,"78,166","140,166",1.79,"162,916","292,805",1.8
2021,June,"103,848","194,412",1.87,"85,301","160,988",1.89,"189,149","355,400",1.88
2021,July,"127,896","248,916",1.95,"88,445","174,157",1.97,"216,341","423,073",1.96
2021,August,"129,229","253,552",1.96,"93,206","184,021",1.97,"222,435","437,573",1.97
2021,September,"121,248","241,825",1.99,"85,004","168,987",1.99,"206,252","410,812",1.99
2021,October,"128,305","284,372",2.22,"87,565","191,977",2.19,"215,870","476,349",2.21
2021,November,"125,695","290,888",2.31,"92,389","216,274",2.34,"218,084","507,162",2.33
2021,December,"134,743","297,198",2.21,"102,564","229,876",2.24,"237,307","527,074",2.22
2021 Total,,"1,218,139","2,390,132",1.96,"987,763","1,909,756",1.93,"2,205,902","4,299,888",1.95
% Chg over 2020,,58.55%,113.77%,34.83%,18.74%,59.73%,34.53%,37.85%,85.85%,34.82%
2022,January,"115,500","274,277",2.37,"98,629","230,110",2.33,"214,129","504,386",2.36
2022,February,"117,196","305,604",2.61,"81,770","212,812",2.6,"198,966","518,416",2.61
2022,March,"141,024","438,750",3.11,"99,112","302,668",3.05,"240,136","741,417",3.09
2022,April,"135,711","511,755",3.77,"108,203","405,691",3.75,"243,914","917,447",3.76
2022,May,"140,230","578,677",4.13,"127,307","514,451",4.04,"267,537","1,093,128",4.09
2022,June,"142,378","587,380",4.13,"133,412","545,071",4.09,"275,790","1,132,451",4.11
2022,July,"154,950","594,680",3.84,"148,819","593,636",3.99,"303,769","1,188,316",3.91
2022,August,"149,733","526,114",3.51,"146,530","520,958",3.56,"296,263","1,047,073",3.53
2022,September,"136,197","472,497",3.47,"132,339","460,415",3.48,"268,536","932,913",3.47
2022,October,"148,605","527,230",3.55,"126,865","433,690",3.42,"275,470","960,920",3.49
2022,November,"141,074","492,030",3.49,"125,025","425,666",3.4,"266,099","917,696",3.45
2022,December,"155,154","494,281",3.19,"135,835","433,093",3.19,"290,988","927,374",3.19
2022 Total,,"1,677,752","5,803,276",3.46,"1,463,846","5,078,261",3.47,"3,141,598","10,881,537",3.46
% Chg over 2021,,37.73%,142.80%,76.29%,48.20%,165.91%,79.43%,42.42%,153.07%,77.69%
2023,January,"151,553","514,019",3.39,"129,365","416,640",3.22,"280,917","930,659",3.31
2023,February,"142,946","475,607",3.33,"117,622","381,533",3.24,"260,568","857,140",3.29
2023,March,"165,983","486,748",2.93,"141,537","411,419",2.91,"307,520","898,167",2.92
2023 YTD,,"460,481","1,476,374",3.21,"388,524","1,209,593",3.11,"849,005","2,685,966",3.16
% Chg over 2022 YTD,,23.22%,44.94%,17.63%,39.00%,62.23%,16.71%,29.97%,52.25%,17.14%
