Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2015,January,"13,688","25,606",1.87,"6,160","12,741",2,"19,848","38,346",1.93
2015,February,"12,290","21,937",1.78,"5,509","9,921",2,"17,799","31,858",1.79
2015,March,"13,498","25,358",1.88,"5,852","11,401",2,"19,351","36,759",1.9
2015,April,"12,657","21,885",1.73,"5,625","9,878",2,"18,281","31,763",1.74
2015,May,"13,810","26,984",1.95,"5,871","10,854",2,"19,682","37,838",1.92
2015,June,"14,406","27,419",1.9,"5,629","10,849",2,"20,035","38,268",1.91
2015,July,"15,203","26,912",1.77,"5,890","10,707",2,"21,093","37,619",1.78
2015,August,"15,212","24,445",1.61,"5,871","9,992",2,"21,083","34,437",1.63
2015,September,"13,393","20,596",1.54,"5,611","8,876",2,"19,003","29,471",1.55
2015,October,"13,468","20,470",1.52,"5,922","9,296",2,"19,390","29,766",1.54
2015,November,"13,117","19,171",1.46,"5,607","8,505",2,"18,723","27,676",1.48
2015,December,"13,951","18,486",1.33,"5,945","8,520",1,"19,896","27,006",1.36
2015 Total,,"164,692","279,269",1.7,"69,491","121,539",2,"234,184","400,808",1.71
% Chg over 2014,,6.19%,-36.37%,-40.08%,-7.47%,-44.24%,-39.74%,1.73%,-38.98%,-40.02%
2016,January,"13,942","15,802",1.13,"6,025","7,440",1,"19,967","23,242",1.16
2016,February,"12,948","14,132",1.09,"5,233","5,898",1,"18,181","20,030",1.1
2016,March,"14,009","16,393",1.17,"5,699","6,634",1,"19,708","23,027",1.17
2016,April,"13,260","16,176",1.22,"5,672","7,048",1,"18,933","23,224",1.23
2016,May,"13,925","18,715",1.34,"5,744","7,652",1,"19,669","26,367",1.34
2016,June,"15,348","22,620",1.47,"5,748","8,337",1,"21,096","30,957",1.47
2016,July,"16,134","23,088",1.43,"6,285","9,140",1,"22,419","32,228",1.44
2016,August,"15,661","20,951",1.34,"6,700","9,070",1,"22,361","30,021",1.34
2016,September,"13,635","19,067",1.4,"6,503","9,065",1,"20,138","28,133",1.4
2016,October,"13,858","20,536",1.48,"6,584","9,559",1,"20,443","30,094",1.47
2016,November,"13,232","19,124",1.45,"6,325","9,443",1,"19,557","28,567",1.46
2016,December,"14,541","22,405",1.54,"7,096","10,694",2,"21,638","33,099",1.53
2016 Total,,"170,493","229,010",1.34,"73,615","99,978",1,"244,108","328,988",1.35
% Chg over 2015,,3.52%,-18.00%,-20.79%,5.93%,-17.74%,-22.35%,4.24%,-17.92%,-21.26%
2017,January,"14,166","22,776",1.61,"7,342","11,956",2,"21,509","34,732",1.61
2017,February,"12,545","20,327",1.62,"6,377","10,447",2,"18,921","30,774",1.63
2017,March,"14,072","22,225",1.58,"7,236","11,710",2,"21,308","33,935",1.59
2017,April,"13,663","21,685",1.59,"6,930","10,927",2,"20,593","32,612",1.58
2017,May,"14,425","21,727",1.51,"7,151","11,114",2,"21,577","32,841",1.52
2017,June,"15,301","22,502",1.47,"7,036","10,568",2,"22,337","33,070",1.48
2017,July,"15,649","23,257",1.49,"7,227","10,521",1,"22,876","33,778",1.48
2017,August,"15,594","24,756",1.59,"7,242","11,168",2,"22,835","35,925",1.57
2017,September,"14,351","24,212",1.69,"7,097","11,535",2,"21,448","35,747",1.67
2017,October,"14,869","25,527",1.72,"7,186","12,237",2,"22,055","37,764",1.71
2017,November,"14,486","26,252",1.81,"7,115","12,574",2,"21,601","38,827",1.8
2017,December,"15,633","28,961",1.85,"7,244","13,435",2,"22,877","42,396",1.85
2017 Total,,"174,752","284,208",1.63,"85,185","138,192",2,"259,937","422,400",1.63
% Chg over 2016,,2.50%,24.10%,21.08%,15.72%,38.22%,19.45%,6.48%,28.39%,20.58%
2018,January,"15,116","29,894",1.98,"7,316","14,225",2,"22,432","44,119",1.97
2018,February,"13,461","26,670",1.98,"6,576","13,113",2,"20,037","39,783",1.99
2018,March,"15,390","30,025",1.95,"7,420","14,646",2,"22,810","44,671",1.96
2018,April,"15,068","31,212",2.07,"7,199","14,585",2,"22,268","45,797",2.06
2018,May,"15,757","34,682",2.2,"7,278","15,762",2,"23,035","50,445",2.19
2018,June,"15,997","34,894",2.18,"7,321","16,132",2,"23,318","51,026",2.19
2018,July,"16,483","35,610",2.16,"7,613","16,437",2,"24,096","52,047",2.16
2018,August,"16,489","35,570",2.16,"8,356","18,033",2,"24,845","53,603",2.16
2018,September,"15,275","34,062",2.23,"7,917","17,460",2,"23,191","51,522",2.22
2018,October,"15,666","36,736",2.34,"7,177","16,615",2,"22,843","53,351",2.34
2018,November,"15,151","33,017",2.18,"6,608","14,844",2,"21,759","47,862",2.2
2018,December,"15,967","29,627",1.86,"7,181","13,822",2,"23,148","43,448",1.88
2018 Total,,"185,821","391,998",2.11,"87,962","185,675",2,"273,783","577,673",2.11
% Chg over 2017,,6.33%,37.93%,29.71%,3.26%,34.36%,30.12%,5.33%,36.76%,29.84%
2019,January,"15,280","27,130",1.78,"7,346","12,857",2,"22,627","39,987",1.77
2019,February,"13,533","25,862",1.91,"6,418","11,806",2,"19,951","37,668",1.89
2019,March,"15,075","29,926",1.99,"6,868","13,491",2,"21,943","43,417",1.98
2019,April,"15,343","31,430",2.05,"6,691","13,400",2,"22,034","44,830",2.03
2019,May,"16,144","34,162",2.12,"6,762","13,846",2,"22,906","48,008",2.1
2019,June,"15,668","29,622",1.89,"6,670","12,917",2,"22,338","42,539",1.9
2019,July,"16,087","31,348",1.95,"7,194","13,709",2,"23,281","45,057",1.94
2019,August,"16,190","30,577",1.89,"7,593","14,487",2,"23,783","45,064",1.89
2019,September,"15,139","28,914",1.91,"7,546","14,159",2,"22,685","43,074",1.9
2019,October,"15,815","30,520",1.93,"6,930","13,212",2,"22,745","43,732",1.92
2019,November,"15,462","30,061",1.94,"6,349","11,842",2,"21,811","41,903",1.92
2019,December,"16,361","31,942",1.95,"7,537","14,192",2,"23,898","46,134",1.93
2019 Total,,"186,098","361,494",1.94,"83,904","159,920",2,"270,002","521,414",1.93
% Chg over 2018,,0.15%,-7.78%,-7.92%,-4.61%,-13.87%,-9.71%,-1.38%,-9.74%,-8.47%
2020,January,"15,970","31,519",1.97,"7,806","15,277",2,"23,775","46,796",1.97
2020,February,"14,965","25,296",1.69,"6,761","11,788",2,"21,726","37,085",1.71
2020,March,"13,351","17,945",1.34,"4,973","7,245",1,"18,324","25,189",1.37
2020,April,"1,552","1,231",0.79,272,223,1,"1,824","1,454",0.8
2020,May,"2,182","1,727",0.79,533,287,1,"2,715","2,014",0.74
2020,June,"2,651","2,776",1.05,569,504,1,"3,220","3,279",1.02
2020,July,"3,868","4,424",1.14,717,770,1.07,"4,585","5,195",1.13
2020,August,"3,812","4,353",1.14,842,934,1.11,"4,654","5,287",1.14
2020,September,"3,245","3,417",1.05,909,961,1.06,"4,154","4,378",1.05
2020,October,"3,706","4,052",1.09,"1,209","1,246",1.03,"4,915","5,298",1.08
2020,November,"5,669","6,738",1.19,"1,225","1,311",1.07,"6,894","8,049",1.17
2020,December,"7,872","10,653",1.35,"1,537","1,910",1.24,"9,409","12,564",1.34
2020 Total,,"78,841","114,132",1.45,"27,354","42,456",1.55,"106,195","156,588",1.47
% Chg over 2019,,-57.63%,-68.43%,-25.48%,-67.40%,-73.45%,-18.57%,-60.67%,-69.97%,-23.65%
2021,January,"9,278","13,449",1.45,"1,313","1,820",1.39,"10,591","15,269",1.44
2021,February,"7,806","12,313",1.58,865,"1,294",1.5,"8,671","13,608",1.57
2021,March,"9,549","16,299",1.71,"1,133","1,854",1.64,"10,682","18,153",1.7
2021,April,"11,174","18,707",1.67,"1,201","1,965",1.64,"12,375","20,672",1.67
2021,May,"13,547","24,188",1.79,"1,291","2,188",1.7,"14,838","26,376",1.78
2021,June,"16,183","30,244",1.87,"1,037","1,902",1.83,"17,220","32,146",1.87
2021,July,"17,210","33,488",1.95,"1,013","1,904",1.88,"18,222","35,392",1.94
2021,August,"16,739","32,468",1.94,"1,167","2,194",1.88,"17,907","34,662",1.94
2021,September,"15,385","30,413",1.98,"1,096","2,078",1.9,"16,481","32,491",1.97
2021,October,"15,899","35,607",2.24,"1,031","2,178",2.11,"16,930","37,785",2.23
2021,November,"15,844","36,133",2.28,"1,093","2,488",2.28,"16,937","38,621",2.28
2021,December,"16,948","36,058",2.13,"1,691","3,568",2.11,"18,640","39,626",2.13
2021 Total,,"165,561","319,368",1.93,"13,932","25,433",1.83,"179,494","344,801",1.92
% Chg over 2020,,109.99%,179.82%,33.25%,-49.07%,-40.10%,17.61%,69.02%,120.20%,30.28%
2022,January,"16,214","38,276",2.36,"1,943","4,248",2.19,"18,157","42,524",2.34
2022,February,"14,625","37,648",2.57,"1,777","4,413",2.48,"16,401","42,061",2.56
2022,March,"16,902","53,836",3.19,"1,956","5,619",2.87,"18,859","59,455",3.15
2022,April,"16,256","58,946",3.63,"2,035","6,713",3.3,"18,290","65,659",3.59
2022,May,"17,076","64,566",3.78,"2,137","7,254",3.39,"19,213","71,819",3.74
2022,June,"17,697","71,249",4.03,"2,293","8,545",3.73,"19,990","79,794",3.99
2022,July,"18,501","67,689",3.66,"3,021","11,320",3.75,"21,523","79,009",3.67
2022,August,"17,194","56,563",3.29,"4,638","15,005",3.24,"21,831","71,568",3.28
2022,September,"15,944","53,099",3.33,"4,536","14,684",3.24,"20,480","67,783",3.31
2022,October,"16,668","56,377",3.38,"4,746","14,740",3.11,"21,414","71,117",3.32
2022,November,"16,175","52,996",3.28,"4,785","14,997",3.13,"20,961","67,993",3.24
2022,December,"16,863","50,539",3,"5,248","15,655",2.98,"22,111","66,194",2.99
2022 Total,,"200,115","661,782",3.31,"39,115","123,193",3.15,"239,231","784,975",3.28
% Chg over 2021,,20.87%,107.22%,71.44%,180.75%,384.39%,72.53%,33.28%,127.66%,70.81%
2023,January,"17,208","54,609",3.17,"5,199","15,089",2.9,"22,407","69,699",3.11
2023,February,"15,282","46,848",3.07,"4,542","13,059",2.88,"19,824","59,907",3.02
2023,March,"17,446","46,953",2.69,"5,176","13,616",2.63,"22,623","60,569",2.68
2023 YTD,,"49,935","148,410",2.97,"14,918","41,765",2.8,"64,853","190,175",2.93
% Chg over 2022 YTD,,4.60%,14.37%,9.35%,162.80%,192.48%,11.29%,21.41%,32.03%,8.75%
