Year,Month,"Domestic Consumption
(thousand gallons)",Domestic Cost (thousand dollars),Domestic Cost per Gallon (Dollars),"International Consumption
(thousand gallons)",International Cost (thousand dollars),International Cost per Gallon (Dollars),"Total Consumption
(thousand gallons)",Total Cost (thousand dollars),Total Cost per Gallon (Dollars)
2014,July,"47,721","146,281",3.07,"12,286","37,661",3,"60,007","183,942",3.07
2014,August,"48,044","147,557",3.07,"12,406","38,104",3,"60,450","185,661",3.07
2014,September,"39,879","122,606",3.07,"8,402","25,832",3,"48,281","148,438",3.07
2014,October,"42,450","120,855",2.85,"8,710","24,797",3,"51,160","145,653",2.85
2014,November,"43,003","118,198",2.75,"8,681","23,861",3,"51,684","142,059",2.75
2014,December,"47,886","121,227",2.53,"10,600","26,836",3,"58,486","148,063",2.53
2014 Total,,"522,142","1,564,982",3,"116,600","349,941",3,"638,742","1,914,923",3
% Chg over 2013,,3.00%,-1.79%,-4.64%,20.01%,14.50%,-4.59%,5.73%,0.84%,-4.63%
2015,January,"44,725","90,382",2.02,"10,140","20,491",2,"54,866","110,873",2.02
2015,February,"40,953","83,605",2.04,"8,625","17,607",2,"49,578","101,212",2.04
2015,March,"48,620","102,771",2.11,"9,444","19,963",2,"58,065","122,734",2.11
2015,April,"47,056","94,860",2.02,"10,307","20,778",2,"57,363","115,638",2.02
2015,May,"47,590","105,762",2.22,"9,669","21,487",2,"57,258","127,249",2.22
2015,June,"48,807","105,582",2.16,"10,575","22,876",2,"59,382","128,458",2.16
2015,July,"52,337","102,724",1.96,"13,092","25,783",2,"65,428","128,507",1.96
2015,August,"51,893","93,561",1.8,"13,099","23,695",2,"64,992","117,256",1.8
2015,September,"45,396","79,937",1.76,"9,382","16,534",2,"54,777","96,471",1.76
2015,October,"46,850","81,760",1.75,"9,874","17,247",2,"56,724","99,008",1.75
2015,November,"46,907","81,540",1.74,"10,061","17,500",2,"56,968","99,040",1.74
2015,December,"51,373","80,589",1.57,"13,084","20,741",2,"64,457","101,330",1.57
2015 Total,,"572,507","1,103,074",1.93,"127,350","244,702",2,"699,857","1,347,776",1.93
% Chg over 2014,,9.65%,-29.52%,-35.72%,9.22%,-30.07%,-35.98%,9.57%,-29.62%,-35.76%
2016,January,"48,414","56,262",1.16,"12,210","14,275",1,"60,624","70,537",1.16
2016,February,"47,007","53,523",1.14,"11,145","12,818",1,"58,152","66,340",1.14
2016,March,"52,727","63,706",1.21,"11,668","14,231",1,"64,395","77,936",1.21
2016,April,"50,690","64,391",1.27,"11,739","14,997",1,"62,429","79,388",1.27
2016,May,"52,143","75,222",1.44,"11,407","16,568",1,"63,550","91,790",1.44
2016,June,"52,913","83,355",1.58,"12,411","19,599",2,"65,324","102,954",1.58
2016,July,"55,423","84,232",1.52,"14,096","21,480",2,"69,519","105,713",1.52
2016,August,"55,139","78,164",1.42,"14,307","20,318",1,"69,446","98,482",1.42
2016,September,"48,995","73,436",1.5,"10,293","15,464",2,"59,288","88,901",1.5
2016,October,"49,796","76,518",1.54,"10,360","15,943",2,"60,157","92,461",1.54
2016,November,"49,643","76,488",1.54,"10,577","16,309",2,"60,220","92,797",1.54
2016,December,"53,163","84,586",1.59,"13,512","21,498",2,"66,675","106,084",1.59
2016 Total,,"616,053","869,884",1.41,"143,725","203,500",1,"759,779","1,073,384",1.41
% Chg over 2015,,7.61%,-21.14%,-26.71%,12.86%,-16.84%,-26.31%,8.56%,-20.36%,-26.64%
2017,January,"52,620","88,828",1.69,"12,623","21,309",2,"65,244","110,137",1.69
2017,February,"47,247","80,631",1.71,"11,090","18,925",2,"58,336","99,556",1.71
2017,March,"54,828","92,005",1.68,"12,466","20,921",2,"67,294","112,926",1.68
2017,April,"54,392","90,772",1.67,"12,363","20,632",2,"66,755","111,404",1.67
2017,May,"54,864","88,155",1.61,"11,918","19,150",2,"66,783","107,305",1.61
2017,June,"55,412","86,224",1.56,"12,925","20,113",2,"68,337","106,337",1.56
2017,July,"58,410","91,168",1.56,"15,289","23,863",2,"73,699","115,032",1.56
2017,August,"57,804","98,122",1.7,"15,150","25,717",2,"72,954","123,839",1.7
2017,September,"47,711","88,702",1.86,"10,398","19,330",2,"58,110","108,032",1.86
2017,October,"52,649","96,933",1.84,"11,082","20,405",2,"63,732","117,338",1.84
2017,November,"51,573","96,790",1.88,"11,257","21,125",2,"62,830","117,915",1.88
2017,December,"53,995","105,742",1.96,"13,882","27,187",2,"67,877","132,929",1.96
2017 Total,,"641,505","1,104,073",1.72,"150,444","258,677",2,"791,950","1,362,751",1.72
% Chg over 2016,,4.13%,26.92%,21.89%,4.68%,27.11%,21.44%,4.23%,26.96%,21.80%
2018,January,"53,985","114,629",2.12,"12,901","27,393",2,"66,886","142,022",2.12
2018,February,"51,031","107,836",2.11,"11,724","24,774",2,"62,755","132,610",2.11
2018,March,"56,343","115,143",2.04,"13,250","27,078",2,"69,593","142,222",2.04
2018,April,"57,304","124,607",2.17,"13,174","28,647",2,"70,478","153,254",2.17
2018,May,"59,887","140,046",2.34,"12,806","29,947",2,"72,693","169,993",2.34
2018,June,"58,340","135,866",2.33,"13,742","32,004",2,"72,082","167,870",2.33
2018,July,"60,441","139,039",2.3,"16,444","37,828",2,"76,886","176,867",2.3
2018,August,"60,373","138,981",2.3,"16,346","37,629",2,"76,718","176,610",2.3
2018,September,"55,146","129,367",2.35,"13,625","31,962",2,"68,771","161,329",2.35
2018,October,"56,270","137,820",2.45,"12,988","31,813",2,"69,258","169,633",2.45
2018,November,"55,678","127,943",2.3,"13,235","30,412",2,"68,913","158,355",2.3
2018,December,"58,372","116,905",2,"15,761","31,565",2,"74,133","148,471",2
2018 Total,,"683,171","1,528,183",2.24,"165,996","371,053",2,"849,167","1,899,236",2.24
% Chg over 2017,,6.49%,38.41%,29.97%,10.34%,43.44%,30.00%,7.22%,39.37%,29.98%
2019,January,"55,214","107,587",1.95,"15,194","29,606",2,"70,408","137,194",1.95
2019,February,"52,645","108,560",2.06,"13,783","28,421",2,"66,428","136,981",2.06
2019,March,"60,118","128,209",2.13,"16,281","34,721",2,"76,400","162,930",2.13
2019,April,"59,528","128,725",2.16,"15,649","33,841",2,"75,177","162,566",2.16
2019,May,"59,139","132,733",2.24,"15,400","34,564",2,"74,539","167,297",2.24
2019,June,"57,900","119,555",2.06,"16,881","34,858",2,"74,781","154,413",2.06
2019,July,"60,919","127,696",2.1,"18,858","39,529",2,"79,777","167,226",2.1
2019,August,"60,585","124,292",2.05,"19,174","39,335",2,"79,759","163,627",2.05
2019,September,"55,217","112,135",2.03,"13,821","28,067",2,"69,038","140,203",2.03
2019,October,"58,297","120,083",2,"13,411","27,625",2,"71,709","147,708",2.06
2019,November,"57,652","119,344",2,"13,602","28,156",2,"71,254","147,501",2.07
2019,December,"60,055","125,710",2,"16,165","33,836",2,"76,220","159,546",2.09
2019 Total,,"697,271","1,454,631",2,"188,218","392,561",2,"885,490","1,847,192",2.09
% Chg over 2018,,2.06%,-4.81%,-6.74%,13.39%,5.80%,-6.69%,4.28%,-2.74%,-6.73%
2020,January,"57,923","122,393",2,"13,912","29,397",2,"71,835","151,791",2.11
2020,February,"55,491","101,208",2,"12,535","22,861",2,"68,026","124,068",1.82
2020,March,"48,180","75,410",2,"8,922","13,965",2,"57,102","89,375",1.57
2020,April,"9,791","8,374",1,223,191,1,"10,014","8,565",0.86
2020,May,"5,693","4,889",1,372,322,1,"6,065","5,212",0.86
2020,June,"13,097","14,623",1.12,712,795,1.12,"13,809","15,418",1.12
2020,July,"25,691","30,876",1.2,"7,555","9,082",1.2,"33,245","39,958",1.2
2020,August,"19,770","24,445",1.24,"7,287","9,010",1.24,"27,057","33,455",1.24
2020,September,"16,786","20,715",1.23,"5,825","7,189",1.23,"22,611","27,903",1.23
2020,October,"23,159","26,955",1.16,"6,714","7,814",1.16,"29,873","34,769",1.16
2020,November,"26,362","33,047",1.25,"7,510","9,414",1.25,"33,872","42,462",1.25
2020,December,"26,866","39,326",1.46,"11,872","17,378",1.46,"38,737","56,703",1.46
2020 Total,,"328,807","502,261",1.53,"83,439","127,418",1.53,"412,246","629,680",1.53
% Chg over 2019,,-52.84%,-65.47%,-26.78%,-55.67%,-67.54%,-26.78%,-53.44%,-65.91%,-26.78%
2021,January,"22,382","34,367",1.54,"10,607","16,286",1.54,"32,989","50,653",1.54
2021,February,"24,278","41,234",1.7,"9,155","15,548",1.7,"33,433","56,783",1.7
2021,March,"34,279","64,146",1.87,"11,656","21,813",1.87,"45,935","85,959",1.87
2021,April,"37,980","67,394",1.77,"10,918","19,375",1.77,"48,898","86,768",1.77
2021,May,"44,232","84,931",1.92,"14,977","28,758",1.92,"59,209","113,689",1.92
2021,June,"48,600","97,346",2,"18,518","37,087",2,"67,118","134,433",2
2021,July,"54,295","111,904",2.06,"19,342","39,912",2.06,"73,637","151,816",2.06
2021,August,"54,416","112,593",2.07,"19,642","40,673",2.07,"74,058","153,266",2.07
2021,September,"47,846","101,307",2.12,"17,081","36,165",2.12,"64,927","137,472",2.12
2021,October,"48,930","114,883",2.35,"15,626","36,685",2.35,"64,556","151,568",2.35
2021,November,"46,238","113,405",2.45,"14,761","36,201",2.45,"60,999","149,606",2.45
2021,December,"50,920","117,083",2.3,"18,986","43,656",2.3,"69,906","160,739",2.3
2021 Total,,"514,395","1,060,593",2.06,"181,269","372,160",2.05,"695,664","1,432,752",2.06
% Chg over 2020,,56.44%,111.16%,34.98%,117.25%,192.08%,34.44%,68.75%,127.54%,34.84%
2022,January,"45,036","110,746",2.46,"15,952","39,228",2.46,"60,987","149,974",2.46
2022,February,"47,539","133,260",2.8,"15,301","42,894",2.8,"62,840","176,154",2.8
2022,March,"55,152","184,999",3.35,"17,840","59,848",3.35,"72,992","244,847",3.35
2022,April,"54,384","221,523",4.07,"18,395","74,930",4.07,"72,779","296,453",4.07
2022,May,"56,819","251,005",4.42,"16,667","73,627",4.42,"73,486","324,632",4.42
2022,June,"50,283","212,647",4.23,"18,113","76,601",4.23,"68,396","289,248",4.23
2022,July,"54,662","222,474",4.07,"19,601","79,774",4.07,"74,263","302,249",4.07
2022,August,"53,335","201,259",3.77,"19,819","74,786",3.77,"73,153","276,045",3.77
2022,September,"51,330","189,819",3.7,"14,680","54,288",3.7,"66,010","244,107",3.7
2022,October,"52,201","200,916",3.85,"14,658","56,419",3.85,"66,859","257,334",3.85
2022,November,"56,521","216,869",3.84,"16,251","62,353",3.84,"72,772","279,221",3.84
2022,December,"56,610","193,585",3.42,"19,707","67,390",3.42,"76,317","260,976",3.42
2022 Total,,"633,871","2,339,103",3.69,"206,984","762,137",3.68,"840,856","3,101,240",3.69
% Chg over 2021,,23.23%,120.55%,78.98%,14.19%,104.79%,79.35%,20.87%,116.45%,79.08%
2023,January,"54,452","192,672",3.54,"17,443","61,720",3.54,"71,896","254,392",3.54
2023,February,"52,876","201,098",3.8,"15,141","57,585",3.8,"68,018","258,683",3.8
2023,March,"62,140","195,366",3.14,"18,060","56,779",3.14,"80,200","252,146",3.14
2023 YTD,,"169,469","589,136",3.48,"50,644","176,084",3.48,"220,113","765,220",3.48
% Chg over 2022 YTD,,14.72%,37.33%,19.71%,3.16%,24.03%,20.23%,11.83%,34.02%,19.84%
